px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
-9.77791	10.9223	-5.17445	3.14405	-0.165554	-9.83445	11.1032	-9.83809	10.8837	5.19106	0.118212	1.97103
-9.53836	10.9088	-5.14848	3.13312	-0.165192	-10.195	10.3498	-9.57852	10.8891	5.19278	0.0985664	4.09191
-9.28009	10.9318	-5.15387	3.13475	-0.154402	-9.3066	11.0348	-9.31887	10.8936	5.19428	0.0806865	0.621369
-9.02857	10.9163	-5.14071	3.12657	-0.148404	-9.2226	10.3527	-9.05915	10.8972	5.19557	0.0645787	2.74876
-8.76826	10.9436	-5.14945	3.13122	-0.135347	-8.78899	11.0707	-8.79937	10.9001	5.19667	0.050248	0.91428
-8.52116	10.9055	-5.13176	3.11263	-0.146234	-8.83914	10.0319	-8.53953	10.9023	5.19759	0.0376992	6.57289
-8.33441	10.835	-5.04437	3.08187	-0.171368	-8.62045	10.6577	-8.27965	10.9039	5.19835	0.0269359	6.40772
-8.07911	10.8509	-5.04401	3.09353	-0.137254	-7.91543	11.1157	-8.01974	10.905	5.19896	0.0179617	1.42245
-7.76862	10.8822	-5.11622	3.10388	-0.118584	-7.51971	11.0005	-7.75979	10.9057	5.19942	0.0107791	4.25797
-7.50535	10.8841	-5.11811	3.11216	-0.089024	-7.25987	10.6458	-7.49981	10.9061	5.19975	0.00539029	2.09962
-7.23598	10.8676	-5.13287	3.10474	-0.0922511	-7.15631	10.815	-7.23983	10.9063	5.19994	0.00179692	0.473278
-6.9915	10.9043	-5.11125	3.13357	-0.0321161	-7.39396	11.0181	-6.97983	10.9064	5.2	-7.84874e-015	4.04522
